2022-12-13 20:51:12.281498 [src/ip_input.c:64] - Thread[netdev_rx_loop] Not sup IGMP
2022-12-13 20:51:21.796413 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:21.897180 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:21.998771 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:22.100892 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:22.203088 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:22.271157 [src/ipc.c:157] - Thread[ipc_loop] [IPC] on_recv ipc_socket, fd 11 pid 72992
2022-12-13 20:51:22.271361 [src/ipc.c:127] - Thread[ipc_loop] [IPC] on_recv ipc_connect, fd 11 pid 72992
2022-12-13 20:51:22.272020 [src/ipc.c:87] - Thread[ipc_loop] [IPC] on_recv ipc_write, fd 11 pid 72992
2022-12-13 20:51:22.272227 [src/ipc.c:56] - Thread[ipc_loop] [IPC] on_recv ipc_read, fd 11 pid 72992
2022-12-13 20:51:22.272854 [src/ipc.c:56] - Thread[ipc_loop] [IPC] on_recv ipc_read, fd 11 pid 72992
2022-12-13 20:51:22.272862 [src/ipc.c:173] - Thread[ipc_loop] [IPC] on_recv ipc_close, fd 11 pid 72992
2022-12-13 20:51:22.278156 [src/ipc.c:157] - Thread[ipc_loop] [IPC] on_recv ipc_socket, fd 11 pid 73003
2022-12-13 20:51:22.281053 [src/ipc.c:311] - Thread[ipc_loop] [IPC] on_recv ipc_fcntl, fd 11 pid 73003
2022-12-13 20:51:22.281181 [src/ipc.c:127] - Thread[ipc_loop] [IPC] on_recv ipc_connect, fd 11 pid 73003
2022-12-13 20:51:22.281371 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 11 pid 73003
2022-12-13 20:51:22.281609 [src/ipc.c:87] - Thread[ipc_loop] [IPC] on_recv ipc_write, fd 11 pid 73003
2022-12-13 20:51:22.281778 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 11 pid 73003
2022-12-13 20:51:22.304119 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:22.306456 [src/ipc.c:157] - Thread[ipc_loop] [IPC] on_recv ipc_socket, fd 12 pid 73014
2022-12-13 20:51:22.306600 [src/ipc.c:127] - Thread[ipc_loop] [IPC] on_recv ipc_connect, fd 12 pid 73014
2022-12-13 20:51:22.307034 [src/ipc.c:87] - Thread[ipc_loop] [IPC] on_recv ipc_write, fd 12 pid 73014
2022-12-13 20:51:22.307273 [src/ipc.c:56] - Thread[ipc_loop] [IPC] on_recv ipc_read, fd 12 pid 73014
2022-12-13 20:51:22.318619 [src/ipc.c:157] - Thread[ipc_loop] [IPC] on_recv ipc_socket, fd 13 pid 73032
2022-12-13 20:51:22.318861 [src/ipc.c:127] - Thread[ipc_loop] [IPC] on_recv ipc_connect, fd 13 pid 73032
2022-12-13 20:51:22.319813 [src/ipc.c:157] - Thread[ipc_loop] [IPC] on_recv ipc_socket, fd 14 pid 73035
2022-12-13 20:51:22.319958 [src/ipc.c:127] - Thread[ipc_loop] [IPC] on_recv ipc_connect, fd 14 pid 73035
2022-12-13 20:51:22.320343 [src/ipc.c:87] - Thread[ipc_loop] [IPC] on_recv ipc_write, fd 14 pid 73035
2022-12-13 20:51:22.320494 [src/ipc.c:56] - Thread[ipc_loop] [IPC] on_recv ipc_read, fd 14 pid 73035
2022-12-13 20:51:22.321587 [src/ipc.c:56] - Thread[ipc_loop] [IPC] on_recv ipc_read, fd 14 pid 73035
2022-12-13 20:51:22.321624 [src/ipc.c:56] - Thread[ipc_loop] [IPC] on_recv ipc_read, fd 14 pid 73035
2022-12-13 20:51:22.321654 [src/ipc.c:173] - Thread[ipc_loop] [IPC] on_recv ipc_close, fd 14 pid 73035
2022-12-13 20:51:22.327320 [src/ipc.c:157] - Thread[ipc_loop] [IPC] on_recv ipc_socket, fd 14 pid 73046
2022-12-13 20:51:22.327473 [src/ipc.c:311] - Thread[ipc_loop] [IPC] on_recv ipc_fcntl, fd 14 pid 73046
2022-12-13 20:51:22.327590 [src/ipc.c:127] - Thread[ipc_loop] [IPC] on_recv ipc_connect, fd 14 pid 73046
2022-12-13 20:51:22.328152 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 14 pid 73046
2022-12-13 20:51:22.328268 [src/ipc.c:87] - Thread[ipc_loop] [IPC] on_recv ipc_write, fd 14 pid 73046
2022-12-13 20:51:22.328452 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 14 pid 73046
2022-12-13 20:51:22.406040 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:22.507483 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
